id,field,level,short_description,student
750,Knowledge,national,SbpMUnSzwlTPaUHmsbIjOjfaoxukVLVKDFAZxnVfdwHCWeAEdyQbaGPVEmzVBCDRMiXyjyCILNtxpIZVnSxzjTOkYDVxGEEnUPtXepewRueZGuwpyRgoTVujdrkAkszOtKOZtPeKbLNjhfYxGRlGlSYOdPpaheakjmbOysQHyVIbJwDviLlCeyzRWfbrKNPzfCzuXsfiBmkJvuQgqsZvnWkLGxAAbOCHezbMtmdWaYIOoqbLfgACDsprQioGjdUfsxuXnRxDtCwdNnqbfUKUQBRqBNLjruOgtvKZzUkCCHxYDaaaJzTNMOvNQsnrBZVeKEueiuwjBGpruntDoXBIQySzbvwdDVaNBZKmQvOUChbnDSMaxAWyWWHItkkeytsHjHRMOWmKscUIPtHXchuvpBdFbyRohfQkgbqIQIPAIUOITAuoRvSnbSNUQMEjCljPUZcgMDSVmdEIMoLNjHJiWbOERGsWOONoCWhFUDGAlkjkYsQZTFQe,91817809078
751,Knowledge,provincial,UbGkwdHemIUDJBPtWynzQGouqyTIdHJCgUwXJIkIQXEfMQyrGkQSjDSgZCRBqXjNIwaLqaVTxwDsYOJVetKcAWZUTlMUnADjYzwJvxXVvtlIPATKzIJkheETtFvOZMagVmUayUKLmzVrEqEokKXaqMeNussLQkGCqwvPzuWqcvQhhSmsMQNLqykCiIfFlCDpealhXQzhefceFXPmlXkhhhpOqviAesPXpflRevgnpWcKVhhkZoHDebSwuZcQVsVKbvoxxhbxEaFEYBicNvgiJBRajeeNKoxUslyvjsBtMvtjqazaXwExxdVMllCqMPkHPNlIFmurqwPNapUKAaFAofteBsRfJSpvYwVkjnAJJpATaDGdBwRslywHkiJBGoWOAWamlLwvzVTjTVlcXkVwPzqByXGDRXYqLLvpDvUyaSQlAjWZiHsgAqzpthwnJpICjAHZvbdDtpGdUvRlBQqBLrGJJdMOCXFhzIJtXEiGGYoBHemdmgmi,41228027973
752,Voluntary work,international,cXIgKHVMQLlvQAKnGIOeEjplhTHvznnOavxRdOQbZzApqBEvqaqmpqGiyBsjrLCLYfzIpeEORQIvzVnamaeRHEsnGqUTMbYrfhPpnOQkwWvCxyXTUEiovZxUWVrMsDcJDJxXlQiInZYTFxlkfqwvZDEtwDTWPIdyhLQqgIygtiWOCnSaZpkilpCGGYJMduTvuqTsjETLOBcEhjbCdGwGYseUxPQTYNAtceCnzICIqQyEDPBeDLyGmlCtbjsdwkByqAhFlTrIdgyMuWjNaHmIigpNKSJRvdxLEhUVhTzzAfKgHNftOZGbgjsnouyZZAjLQLWOPVQBOKJyeuvDYQuvehuRghtQmnnmFlrxVnEMpjKoFOfiwPtdoRpqlEJQvIoEObwoVuKxovibcLZWTYGPWKdnRPyVEhFZcwekhwbJLQrNLPWmqPCbHArpgizYGroPmmlHISszIiggzPEuNaPAjgnogCXzKKsKNpUDxZEkxtwDxcZCbpVV,24884968592
753,Voluntary work,district,EbxLPlsSiQkipoHnWwtEBGbDqcwJwjCCUBAlRtIDtpSPqPPymefRzmBXrJcGKauBtCtrdOuTqDDBccKfXqpaChVKDxpVPqSWWZtnwasieFkYDtJhjHeYpPAIGWPhfKEpxFbcMwULdjfcvJplDooSRtPeMYvNkvxFfajWhIxwNpMRFEUtiGyrGUlLmVfZjzjXnckAabSAoZfoPuHxHWFistlkZcTJbUQGGbatpivZMAsQlxgsrmJDbZalYQyvTqUhaQkQmFQMvJWPxvXzESwKkEiPahxliMUjtKzBdroYVSiFIvrHLoncpqxUCjIiKHjeANkdVYOKYOIVyzXrJrvnQXIWryRuNSNwrhxPfmbzLRkSMOtPSEknxuCzYyAEfZXWXwuHmqUaGICjCekzTbLxFFfdmerfptaKydbgXkdqseKpjqxMsfgxnnmeRDXPFuSTLzlvUcQAMxrSCzAlMAsSYtJnEtdQtZhjLsBGUPoeGSObJdubWZHp,82921508349
754,Voluntary work,provincial,NWZfoJuMGRNokULAKLCUopSzPKGTAxeVMpHcQoORnwMLmpDZBduJYgkTGXzhwGROJhlmASpLycMChJjvGwohkDcMQMeoebSQZbtTmWwTgoekqWGNJdcvWOPAquEWvSBqOseqVDjUbhuKoqwjWUoZXGgDVcDoHvQHXlybIWjwARODgKOTWgqxyCpRuVMzDYUlRTefUZGplHAzqUtDZamyjPcoGDaZBgCgfRdtPKTzvhyjyKRGtupIGEJDuxYlGBByzvEIWqUoRstEtDWSVwwSqNnFYkeiQXhbAmDMOkWCSUXSWXytmtkCMdlexeASLziVppebqljlbEaXuckZpKCgnCpSgFHZyPhxNdtFGTtBOcJsjKUserqWpnkprdPBSENyHjAjDMbyaDAjlwmKGbUZgXlAOjDTIrxRqRTbWZRhVtcXhCLpqFDsBMauhfPJIRlxSPbjjzOTjyOnPCGimUzWJUjbMQzgUHQIrDQkELeiwlTzmXWbYPEe,81724145874
755,Sport,provincial,GWamVNzRuTsYBvtyrrnMNOgdXFKBLVAfKkyURTtxoKlTwnrsOWrVJfKXRjjUigOFuckGViiQAUWOZMxbdTtEqVhWeqPsjURjQoLzNBvXesdccygxyQfCJlLDPNdQMvewZtOzWUlOywFfuQlHcAxqjHvQGCyALVWeiuHFHcDAjmNPDPouKtycODyfdwZlPxqnfqvBjMagvNAaEpugtaWZBZkaJnbxtxZDkBNerOMfUafUlQpssrpZMDReXGaoaGTeVEzuIifJYJMoWjDDREIgwnpaynanNlVgbiOmHyCKdmTOpVGHVqvNvsZJYVNcKWMWAMGYkditDzsedyDgXzOfZhICvMgSjzgENPVcAGQEAlTANreIXiOTaasNpIgQzBkuWqIXHymGTuWSHtvTtiBirHdSJFizPxSchKFkIyFBLimjonAQxfcgnWiMswQKHYpvLQwQzpfCMrSfNJEdCNOwmbFoOlVIsvybpUZKnvhMPRolaVkMkdBP,32583918585
756,Knowledge,district,hsOjCRVlHKSGDxWRyzlvIYICBNtFEwbBCLrNsCNsqIyRlXMeozBpMRYchYlHgXQGSgYhkwxuJNRfZLLLqwAfKikYgyKkEHsMTJizbQEwpvVONzoTtGKlgelXsWIFtNgNxoPXSiAvJykvONlHisDJlmoHliYAwsmvWlyjMVEKtXhwzFYbimgGmRdUUFlSKlhssBuaOLPFWayCvmrickrNFyebLkRJnFBJBaLWbdAwgWqrrJkePcncxMDYrhWdvWkGLHFHDGPwsQXjuvxyZkdwhgNESSxtSPiZrNtAJCYnmkuqEhJKIDqIluGUqVYlkrDAUNWMOLFjVLyoHPyGWciKfhILHWYVIDzCbwzAWfqqoEWvvoxyCXkBVbCmidnvsCyDetOrRuVmSWwInpbKTPKTKQfJmdXRXsgGXwaDiODKVTOHbKHxvujuralXHfUvmmfxyMCSqtuPJDxpqZHqJQMFhcDOgcfuaPuVXmzzGlqboTGWAfXpXWiF,82554352163
757,Sport,provincial,xUTielUnUKoparddyiEYijaEpndgKPuXtPFxxmNbpvnDyLcmAbvuoMBBrbXMNiwfpiqizQkROMmTeMlfjmjIPrQkRuCnPMrjRfghiJvrCoWHFLiNKKqBWAitEhxmAOElIRLvlSBUhcwvCestlkiquFMpZruXQLquYYwAaUJuiSzIKYwJeyWONewAQELBwFwlbJQNKGQCyWfMitDSRQFSdELXMtNAstdiDGkmYmvYqxyBarQxjhNpNsIVQSeSTbigJzQasujEjlIzDCEHWGqlhWzAuNnDAKdHjjGSQILymNQlfNbRiGhErCOouOQLNigEMIQcZCQfURdkbaUZLBqKthOliVLzBPJHbgKzTWrbRHhCajVHkHQyHnrFQJDyejAlMKuIEdpNyLcgChMQFQpwZjOfJAtASNTUXwPqULcQxDqCBOkcTzqmdhVOVIaGicEmkgrhNhvGAKzMKGDHcBxIhGTbHUgCZwNfHxsoYpggPqyffhkNEtGx,58426034750
758,Voluntary work,provincial,bldlHakdhbaULxARgZxvIngCYGdKWVcanvZdXeRQmniQhLmmTErYIHajCOxwaxsuABnpztoxOjNtPBNMVkHTHrFXwTDSlyNSFBlfCkHeSVPGtZNOZRbXERnVckvJaZFZPIbzaaWwHtixiokjWoPNmFYSwWdwTnyQaGiLpcTyvYsShIxYqKIABlYUDcgEioaIxmMUCYsBWZziZRUbbWlAfWypnBcjLpVgyXokMbNFhQoYwqnsnNhYViXNwPYtnhxwTiwtzHxUZQLiTYNbgrQrabPkAecBSaiCrMXQiZMAJeoKewdlAPVulEpfakeXzhVUGRzqCDpPpKjxqArVmGxWqJwoEAWCxARwTtgtOQxrzhgEdydAXApfVLYpgxEsaJrZtdnAsyZngcLvuysLpMsfDunCXEoELOGvWkXjWyqiQQHEvsqOXoWcQwTcVOFaQGatYOTiZOpfDiCRjioPcEZCvxvhqDgQRfjsrBpqFEgGBZjRnwlIcXxp,63556952933
759,Voluntary work,provincial,kAgdJzJFDxOBrSUUjelfxxeXjejJxUPRLuLEOrQLJZTSLqMzsWRpOVvGhqenszTphTOIgKpCNGijMRKLZQwBpRrMcDgvZsKEnXuoTbmurIpSOdurHTXwcvkTuxnkhnmlCxDFHDeYbEGXTZnmdLJmBzONypuDIFMIdBwsKuWrMBZQHRmJRqVBSgCFtNoqPfZADIYJmzyTwPfckFOPKAbAMhMYrYXTeSAHGwyEmTbAVzmYbcihhMxymHLRymXnXmeQxaMyUvDbsDdmTCxDAYoRldsnWYjvZeDqNrJAggYuyqgdZQzMIviGgMahtVffCTTvNmbnVfFJKUaDRQwAooOmvIBTMLZFgzXowHraLVbCXSwoGGLRkloehaDqbwypoikIWerlJAujtCNpoCwvVPSUUESwKFucVHhzNOKkYzCaZMGuWRTOpOQJaeBjfsyGyppportmldSPXMTrQfjwtgJnNQvlZYjijKzMzigPgjmjIVxSKLHQoJgt,40749822662
760,Knowledge,district,PaRXYMbhCaNZZsoAJtmoWefmRwKMrRzEUnkrXENqWMKAQOZTirKynvVXVVeEDEQCpRPOCsqmdLTelGdCqqtjcprEFnJeMDYCRdDFBnETPxdxjpEYShDkWhICHFZtMJboDjLGQMDClyTmfvixhJtBsHJXVcqkYGgelPniNxzhbtAIsDueDTxBnwhdqVqyVPIaBKUyUaSJtNIGUGUinxZwjYSpkwuWNJckvwBiNnNMQzLZoiVDTBgUWYcxPxOPDAxkRNdOOOVQMXIPseRsRThCGdLlzvyMoRGQUBkMGuuvXGIhUkalEMiICYCLqRDsnoYjTmuQIZjovVwcYNiqNBqrleBwhjmuHQlaAdQdGuEAfDFlDuEMAsYOVmgSGBSOgBTERyOvPBAsMFGtCnOFHeUgbAhyBestmSmxIskRzjczOJVaBFELqmPMaWMnOvnovIncOtXsCrcLVZfHMPpQWKwxKYwIHvjsHgivQLiOhytmzysAfuBEsvmK,16060380801
761,Sport,provincial,INjmjrXGtijzhNsmqUppFFQCMpNrFHKqIXsbjOSDfefxolWzrQrnyoleqWyqcVrDevYQbsBwREQdPLuwjpWalvsYoQbyqxWGISREJRUAUxWlLQznTXJcQUXbodehmrnERcdHXzQgCgFXjrheJWTPwpKyesfyCitcgCfAHyexAhaBkfZWsfTZTivSMvrdZsTFocMmsKdoYAAJwvZDPFrnHeJkILTnozoaENrWDWNWXtusaRjYFXbehnsqxORigHUFtwnFEeivuAElcXYxByREuYFunGvmySEwMTAwGJHWtcnAISuRrSRXcUpwToHXnyYpWFTwfDUzhHIIAoLCFNFtlGQUfcOSEPNEHbOjxuYsEjdqJeDgbntLkDenoBrMdYQhfAZybjpetjNJDRwJfIEunKVvOsVDpviSvzRtjRMGtjPaSFSkyxYjLdejnEuHGitokIsNVPwQPqpSxowdYxRXLzdMZZkTYcilhseuPoJaVjAOqKKZyXrY,30382585596
762,Voluntary work,district,hIrItObjwQLcdZxGDHTnZIbHhfptwbgbaLnGXdiGnKuYzqhzzsUNKYWutaDiNDuogTWlPPtUSzlZRNfEROJyLQcMEIYVRgqKbDxNnxOnMmxnDeKLRpcEDiuZTIVkBNKaTWfmlFQhNvOjLmojRNxRyeaJjDSKcUDvYhByzCgBcyrdFWZdfLYvZdyzKQVxhShJNJYQAZkDLykgCALmPchJVJBQCKRcWDPKxlhxKABtGUYZjzASCPHTamsXsfFgCGuuoHrjmxvTEnpuoneUcuVjuNmPXWVsDQaHgpIvXrUjsqfZShcGrJbeweRqpvDyYdiWnvSANWVeQARaxWTFwwKNfRgBBSjuCORNjheNVPPhMFWKkfbdsUrAgXkKcSDMMaWEOHRKnJhSCAnWhlyWCBGgEshkWziJSzmIyKIzisnyTokhgeBvkpCMGOryzEIKyXzoHxgCsBxRuKeKaMKiMObvtPUNzbAXaHbxsKwzZphLvohWOCQjBzqJ,84726436878
763,Voluntary work,provincial,IxFPiUjBhkTukwKzkvSzethyxSmJEytFMElGoqLEbXpzOaeneLloMdRuXZNftWZCavOzfkSOIdMkAuVNZAMuxqnQQskdhUYUkNkfpZBYWwLcIYForHNryVrnrtZTwJocgpVwRtsbafPkMDdRMMdOrplZWigVuhnFgRBvxpesGVfgjjFlILiUOMnDmKRvYloMxJQNUbuyztazqdRcsGOEhDogQwYgJMlktWZieVEYlIuzZqOQTJGVXemYawAsGYqXrGRwiDwXaXVvKfKPWWSCssKQuYnDxiDBKtqfzrWMaGsqOKMhzilMeBINvxDVfcQIbbFFhjWHTNxMwdQDPJuLfCwIYOYACzRhVSOKeTjoyHxhGyUoupKlahKLUVLjkWcQgbuttHiisovsFyELoAqMkciWNLcAJqvbtqXojidUjabgdFKomIkPtYywzfkhRefbcWQsBZlNVATKBblgTFUSOZGuuEcqFJuYfVDWqbXkvBowpRHIxEUO,57815528778
764,Knowledge,international,yBKNhhKAPlWoCgnVWSpzHFTHqCQGvdkMetAtvQDUunUFqtlDNECMECOcyPPabxqvvxrhEiBZDiwDVeZYhHCpQqOpkHRqAnvgnstJfHvqgnbfalCtclsaBHehPVGGZiMAtCUFxgwGVWqwoKbnsOHCxNoXWhbJiNkbddEqGnXttghWUgvvIyNTIZuGnGtsMoEYoRbexgvRJKruVuVAPMpYKyieXOXdBXKGTngMAMjaIxCCdDuMolMFtOtXrSqBHeQHpLJrHVTYLBrsQYdzJKtIaaIJsxEtlTdISlaNICFkKlAADKmWWiaiFOPFrVHUkqjQXXExdPzkwsPknazVtzIMkstArIcVRUFyMgzSLsNaxdTtAqfXNrjBdojDZuOMlwxsCwJJzRXwSYckbZiStNCiHrBLAkAuDpovARvJXFseVycOfLWZRkWGKykLyjKYxNqDhzEEECaGOlmrcPniJiwkqJMGZpBhaRwCeQAKArDSfJdWndDYLwJL,76911638493
765,Voluntary work,district,HzKxWHHpTlOwCiuDKzZGhYnWNGivuWfNzkMQtyVohQFSVXlTeQlzDApJHOOAqhqAOIFXcmkcxiYoeUZhzTXizCJCLFJZKGwkwxlgjLsRkSdViauMixzhxwyCuuCthWmXzvjWEoOWIBQIbrGNZUwAVvKKplNskgRUBVEOYmicbxSFvBwaiJrIQoyOSKHpEPVjjtBjhSXOGFaWjMDyoCeqHWxSPqZtIdwpdiBMZZginugLlkvXySOdzejAPCNLueuENrxLtRBNTMsIRlunAfyXSATRfXweCmJZbwveDmvFdgwSRbVKNpNBtbwuJHGQIoPcAkMDmBxtWYjwzJHSXqFUkvvUmiDrIpmvgUgNTPVmNlwPrcHpGNHhIvskWhvOsZemmvEfvyoIzHjaIHhNkWMqCyUAJPkYwzIyuPBgCvDYuvRQJaglAAPhQevCnLwQNvnCySFIqtwGhgUuMwECdkMFuJCFXkhhAYItPSpzlQNimYZqGRsfAUGB,85916640494
766,Voluntary work,district,UpacSECbxDmPKeILXyLFQZrxiVrvAFOFpoTXIJSnKjiFlmmWIqBqrhLlSjVibrMlmlkyAITqpawyiyVwVzzAPSpaFHQhjPZWiBZDuQtyqmjEGgyqArBTkFPxnDwwYBXFxMOUzZjaFrijKtuMjULUbBchOZklZJPiqmHmXpetOALAoQeCXfwXtixsDKHEqLcbNRbNHAkxByrsycAALvbHvKaxisCtBKEvPdOroVwKYWSecumKQjsEIZjIQFBgaKHtfDHzDSfHIMGzcJvflLgqwzjhelDbkQqjnCOqnnNrTVmfCqhkYnMPujfkNNqQhotIwGFYhcFqHwNACYJfMIkITmOtYHLWhQgsfCnCluWsSqBhqFbrICTXVtSUVRShjdrlkvITldBekTPauqgwJEuFPgUNlhjVDXiHtqmNnDxNsVMasHOFJmHghmiWpCpNSoKbNPnsrExmlHvSSSNOaoACDunmEdpVprbBzSoINGHuKodKHwZGELAF,83168923859
767,Knowledge,district,oynfPCiLeyGEAjwDHfgLQHJYDPcwPiFOZCOmQvfYDTXBvtgHuvTnUplCRaKjekHWmZgyHKvnvuetbtKpUyBCFyMjZnRgLLuvQCVyHSPkYuyzAejVzEPnDRizuoesPjOqXghRvWFsraLObThghCpnCRbFAAsaLpmDdiCtLrnvUqbOkRizodfSvATTcVAVheZSUALPiDNPTkJUPgQAEEcTdeDjTjjQoAVdDIpljZuSXGXuFtAjABmtoiSCvCLaJHVuOONePhdpicucyFOOIanLJoPiTPmnDFknhMcAiZKutwXULwlaNmgQsZVfHuuOjUySSZpaegrSowELjHWikHBNxkpweSuvoRekjyotLqhAImUrkFuNGjJXWIiObXhhydSybpRYBQvhUCVNiHGrEgFPBsEWeLzdyoZTtevFfVdOzHNjjSZyAzsculjtQoRSFUfASKSbZEVmVKXRGoRdueEKSXWOKFnNOVtBTCGRXZsOlqgcNfUNqZke,60335500629
768,Sport,national,bOyjJzYrJKbVWEvhWPJvCfkjrAuSPKhuTVeNYkJgJOmUagMtMwEAfdnqQgAUGDatbRsYbvZLHGGaKtsPQCelRmcISyvaxjdHBZtGKlIyErezLcGBhKdSEdkctQVyirgkYNmRlBIguwkbpyKpWrTdNUMfkuiSjbnVVDVPruBMzeoHDoWkIoMbkzrjNUmqphHtOrLtQjIIRxYIfBagEaLaZgDorYnWwvNNNLUvuyBuEWwsVQYlWplrbAXrvMwHYwNodlpwvsshAlzJDHPPedwuHIRyqfxGehnsLskvxvrIWWSNMTvmHtPsjVXUdqotmoktsrvgGzojLHZbpsIvEnRnkHMiatNJqJTsZZUUbwmHJigTLzkaNVglOCDMiKMbliapMrKmcHcgAslzJCBPXKOAbFjzSOsHEwykeAvhieojicpfGzFYzCWOcHuNDlyrewPFOJxVVzwIEPhYGXvMkBkOBOFaPrDcCtNYKhpOqoEVwpXxVnKcHDgO,63219168473
769,Knowledge,national,kMQzUksSsrTmRYeeuENLzQkGHPjfzfAzHDWUnrDxAeykLBLmhracgCEEZOntnDzTZyNFkHOezaLeOjQghrvnPyTItVShMXisOqyizZQDZfiKJpvyegwjyfgdPhCYsVwRDkTDFYYNnnGOmqxvPFQUAgThWKmjiMoSVHwWhrJXnkAZFxamekeMTSRTGuwKavdAbMtGUPgcOdeZRmcyJzUAeDOFxxaOJKZyUzZUDzcLbPBNaPOaszGxUWIroXZDxHUQtPxSZNEGDggrwfjigvCItwwsHGSsORIbOnNqgzlPdmivIHTGPyCmUFMYBEbutEEtAuEErhGNlFBAoGXTqmnDRxwANZfRuxzvrDQXDZXbqQJdvrscnYFlPtseTETWbiaadwzrLeyXHRVijnckhMHBKoOIOvOwDdXlWrPjMIhGpeGmQdhchiUfeEMETJEAGukLnPHjosscMJhXZikQzVjLamZMIKNGnrgKXEhzrmivOeTJTErzSclp,66085943513
770,Voluntary work,provincial,BADNXmNCwCzAMSeEEQkkOjwTsvDVovXrZaCIqFoHWnvrdmCNUWtYLJyaLpeBXmvNPVXilHNmfHuuLzUHvwvLpVItjuPdqFagtERMJtzrcqFMYYrWzCqNvPHbAyLWznwYqpzIvPUwEbckVITHIDiDFBZdsWivHVTNRWRzqwZoxrZFVGHIoLmdcuFKZwaGSPqPhrobyVpBauZpYrJimWPDXDELKiEKzzLhAMSmkBViWgIVPJMpVxKFCPkEUDCasAxLiOCTAktCQabMlQqFQxbLDLbWzrMglSSfKVWLLpKBlFZKZucOMVdCeVbfDKVLmmfgvVriGxnIHeMxlPEYhvoaMKIuGbaPGGECnklrXUkZVCDVucLRUFprqSuypvFvHUEVUJvyNmrYYoOkFEcPqejVjMlXOhYfAofvwgeYQVvXAaMebYUViAZVoqRlduOwZLpSnYuCSUSgYcOzLmYNbqAuPIQykyJckOjxQVlrDAGYVjaYZUYVIEvv,11222297391
771,Voluntary work,district,BGGvuAxfoXvfbRQcsIrpMlNaaCfDORHfhimtxDBNDooXrxdVttNeYYAYJEBgMddWIqSKUkBanymxnBwKwgdptSnhoKUpOjsotyzFCtzwPGiEBeeoRNVPvZCteaSKefIYnujKHqpxdPkeevnpxhKlOVcyoDyOvhLlKaoOaEudrAtmaiKqbWyXFbuCUklyrpPSFaWDkMbdariCDKmaIKFEmFBjJpOkxFhjJyrDlezqxWYaeDnlebEMbPWNcZqsLqIwXsLGxaFUYJsoEUqQxYKSFrGIxAHDSZrDBmFtKtdCBdCotlIFXmoibxMdjqKoVOlQXIdPTuFRBOvRPiTpfpdnLDVRbsjYXUsBpxFZUIJdZgcRGljTPfxTEfQDDidpkjYgggKgYhLyFuirBpIOQtxSbDgTtqsRlEOCOixjNYKymqyrgrkoBegZqsSRJfpwdfmVqNLPZngFTmpDyRwhZgVmCpWVpdevnIevCTgXZUXfYnyZTQzeinHW,20719635422
772,Sport,district,WEbNvtQqroGbCfkFVvOBhTRVKHJhLczzjqxDtIttQjNKXrYrEKYZhJTXugZlPhnREAkiXWYZEDTStnWypeXpQiyZZqBKvbTziSbsoFBTVZOLXKIqazPPuFTfxnpEftOpsaEpWYNeHTDgShRhHfxchYeCpTlKRcqtyNzyVcTQarcjbuBbMuSKvNwRDFHcLJzZxlYFlxsMYeNDxEHZdAdkTaizubFHGzZRQpBozLrcKcSCpPviOJLXZULbagxfvYhIxXreUsFQKjzMlUoXKXIFrvPYTrSzAvCyqNcHpxlAuVWPwcZFCzkOvJVNpAZDxzhVTCjvjURnHUWfnegcpQnVPiXUlQJYKUxqUAMpXQMdAHlSOVImGkFOQpIQFhphfTJODKScGnaqhnFVKuHdzFtXPkOoStKiPeNbKhmDgtsaBLIYTarYCmdRdRoHjalkCNoLRgyvIpsaplkOndNkZIUIggGAxRMhXcjAllOPpkrySGyRYEutNMkt,31980495656
773,Voluntary work,district,GtxweUJPIXUIxAxCCkIEnoeSebxbnHecDWjokOotzvIWIleQsQyduAxBsHptZNksgCsQzKeFUiYLnycnuWHekFXULTQPHQLQBkUzMlGXZFIUJsKOgfCbfVkghTuHFhYZjNubtLtLOzoxJOLDYaJYeZTXJiWeorRfzKMfzyRdNrukXaDUfkWVHVDHyanCrQNgDNMvLcDmmpmuwODlCwEXKPNjhPaZmWlmtTFjpzEAwAAWZrqvtCXdzEYYSZnoXhXgpePlCObtXTbktJzUyrCKwubTXVNoyQUlYdasbLmJElxwEfJpUPCQhwOZGTTcqhpMZvQczERcrihzJBrgFzePFPsgCILJKjuowYPClrzFAtxXeRbKQBiXElEborLmtkuZMQebXdqvCDfgnXmfqFXQXdVSNsoUVfuINVGlazjvEYAJSpEALPKXnUGTffQcFtgPQcJkpJQzjmtQHcHFNWdEJvzOPRfumDtZZdmiJKtwhejBDwnjxEzZ,48441846059
774,Voluntary work,provincial,pllxyYsmnXwRepnDRSajDdiUAWQnzrFsVCKUjWxMDSPZTwxPWPyEZgCvNNXiYpjvEZtBYVvCDbySZfqQTQMfbDRsEWQwMcIcqOlDvJLFiArNnuybzgQFJENffIVPFQbqRAcqjqBQUxRmEJAwKTAbXzsNoNaQyaDxdnemHNPPbALdtwFRhsPqLWXjUHlMvkHIRkwQBCYFIeAtZEGOZsxvEurvXITHjmAbYgVjazzgHnsWczFleXgLkbhcnOxjuYMmvetoIBKUCKfEDpguHlkeNDmCxyoFqhGUvsNxAWegwBzlPQpiWsSAGpwuaNEZfmTYzyMBTgvtEaUnkLugOhJIegNKUvHBntvcccBxuYJkKnUDdGOxzaCeHsimklRmCTWKYGkAsLnUQCkZcmRfcsYmTKMveYvgnvnnDlTTbohizeVNWdavzibtNFlZfgiRFsHGblpvAiYKdUPaDGNWrFfBnvEsVIrWFvbfbTtRwztRZeVsoefPhREv,49642524328
775,Sport,district,UULstvWcZcXtFQarENTXkBGHpkdxUQcBTUvFqUnlPIOToVVCtTHRprzdBEqJdOkBrJVlaDFxiCXkOeUiHefrfnPoTCjGKeHXODKHxobGOwAdeRrowKNUWEVwsCepupZmGXrLHyKVDUlYmKowKeRSuVESmLqyzpweEDEOWJXKvXSSGJcmdLrbXbqpRyvDmrqtOMQRNizsFJUFgKbABJEFxtCwBwcKUJtJjhPkDffpcVCOIslaQeZGpKfNvKmGrSDEtCHLhlHoKqvfmthNHfxUqXQRZMjbYctbAOedUuVfeOMcCFdKayNJIldDkQnAjOKGAmEIopNkpeBvSLYFZriHGtCAAQBNCNAYcLcQIIRVzrDqLfclagLSCArHNAihTxWyMswiknSkZZhDmgoLMgBZBDplcRAuaIfJtxtrxLWQNLnmbYVcAsaxlBfHqzUiRDlbdqGbFiBZZXUosbuCFFPOcVVyOQlDEIXkjtZpgRNSgTKlngVibUWj,81032291434
776,Sport,district,WFaGSFBRoEcZnsNeVGhpZowCUXQSTmTtFaGdVWVISTXRmuZtpgsoEvXEfudeNFESjgYvpnyYdDjKXeaCKCTSUvdvBtPFWKabZelrcvvocjSVEFYsArqahgOmeWgFNjPekgyFjbGaekdhYwmPnUfyRPBTkvAYpxQzrHoRGLmsqzbZgcsZNqRrWqLKNFTQUjqdefGhQjXkPnGlxzzSrZJsMrYOsxOSehQjxbbTlwCuSRvrQwDttPUJvIzERTtYuXjbzGHYMEMGLrMDUjEggNhymdSqdrdLiygesaVbYbkwwYmQutsPGNZbkpqOjQnvrqCThqFQtJtpOKILTKKgunxshhtbDJfCoxgtcCLeQChnbiBdPtBfZFMwNwBTfBYYPSczZjnUEisPYDawbzxDEFrYPzswvzLGBUJedGxxVHsbaqcvrfEAHphhYcCHZwHGFmXvSpYEYJXrCnkTCeoEqYuIoDDiRmdyFHtcxRgVRJjSYrlbQkfwhAQq,81353071426
777,Voluntary work,provincial,xnyBnjWmMNcjLONSZhpBCvDhbHKbmMmRTiPbQBbDrlljNHEuIIsHTwmTouqHvvjmBCIfqQBypdgVitmNrcpXfWsxmYEnBRQxwyacHxiWiHIiWvoJdKRVotDFbpkmQElWaHtVXGSillNGHzqxFxRljIAujqmiJMfmfLJOTuyRcAMJVsePqzPkyGeWrYiyvbMPfbDMekdolGrozEJNRDddmFbwjymCoNVeOjaxxyEBWYodIeLAWBWcIRWlsvKJJEiLfCnWPlAMEkiKanVyIzERxoXemJqHEpFeFgkNAbFtPAsvGohwuiSPhxYVeUuzlkbPkYQShqQJUUzEKdDVHsUBqKrvirAlePzDJvMXNSxNcQVktgjKSeBjEzApKDwQQpXkIYZlDlugnIhrtkYGAQHEWqODyxtEYZxWYkXlgMUhUYveKgPxjZgYgPjTVihqzvkxWYBiPTBnntRYnQQZzBCEnRLdOwyjhsULHQVaryGqZotYpYoaZiUc,64304356447
778,Voluntary work,district,OEsJxmoGgtEamVBnLqGpYuMgpRrPdQaXjDBZHIpJwVobBMXYtWicMwfkDDQPAfakBjThlHspsLNPRQAJTOZrCNnDNZLGjZmiiSyKiybpqBZxZyZILrlgmHDqXXyXfAIgrxLAmeHAnTkgysDmmKCqWupQdiaUmjfIOjaNrbnuSxCukuygMYfSwbKUQrzwacCZvkWYXDJxooCsKQAEphBmpoAznOmOPbYpaeOsYvAXxaoDHewqwXZtnUWpkqGZVOUJdDKHMRTsCUrhpSAKJemhDyWdlfYtCpyjrmFHwsDssFiNanXemplyuGaRsxTExlscElwjhayGgqWIGCKYvDFgPPGBcTcLAYCpEilSJOMmBOzETlCHTsZPIWBHlLhKBwMLtraDvYjNiwiBFZFRbUrWgavILLVlSjcdXrCTEZhKXufQimNWUBoPVEtUUDTqopvuaxEISgDDEEnsVFvToAQBqRbnjdolgxCtzRnxUMIEfNYRJkRwMiwk,33951036888
